no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;combined_notes;note_length;unique_words;cluster
354;Fendi;Furiosa;207;101.85;50;edp;Women;floral;amber incense guaiac wood;jasmine violaciocca flower gardenia;4.06;noon;4.02;98.1K;floral amber incense guaiac wood jasmine violaciocca flower gardenia edp;72;10;1
357;Miu Miu;miu miu;515;249.95;100;edp;Women;floral;akigalawood;green notes jasmine rose;5.0;noon;4.02;98.1K;floral akigalawood green notes jasmine rose edp;47;7;0
358;Givenchy;L'Interdit;446;228.0;50;edp;Women;floral;vetiver patchouli ambroxan vanilla;orange blossom jasmine tuberose;5.0;Brand Land;43.0;4K;floral vetiver patchouli ambroxan vanilla orange blossom jasmine tuberose edp;77;10;1
360;Estee Lauder;White Linen;214;214.0;60;edp;Women;arabian;vetiver sandalwood amber benzoin tonka bean honey oakmoss;carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris;5.0;Precious Store;4.01;319;arabian vetiver sandalwood amber benzoin tonka bean honey oakmoss carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris edp;159;21;2
361;Calvin Klein;CK One;220;105.0;200;edt;Unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lily of valley rose;3.03;AMLAQ;3.09;135;citrus sandalwood amber musk cedar oakmoss nutmeg violet orris root jasmine lily of valley rose edt;99;16;1
362;PACO RABANNE;Ultraviolet;281;148.65;80;edp;Women;floral;madagascar vanilla absolute ambergris;chinese osmanthus indian sambac jasmine;4.08;AMLAQ;3.09;135;floral madagascar vanilla absolute ambergris chinese osmanthus indian sambac jasmine edp;88;11;1
364;BURBERRY;Brit Sheer;232;123.95;100;edt;Women;fruity;white musk blond wood;pink peony peach blossom nashi floral accent;4.08;noon;4.02;98.1K;fruity white musk blond wood pink peony peach blossom nashi floral accent edt;77;13;1
367;DORALL COLLECTION;Eternally Hot;29;8.0;100;edt;Women;woody;vanilla musk;gardenia jasmine;4.05;B.A.G;4.02;14.1K;woody vanilla musk gardenia jasmine edt;39;6;0
368;BOUCHERON;Place Vendome;187;187.0;100;edp;Women;floral;cedar white musk;iris rose jasmine;4.05;the beauty;4.01;538;floral cedar white musk iris rose jasmine edp;45;8;0
370;CHANEL;Gabrielle;1126;459.0;100;edp;Women;floral;sandalwood musk;tuberose ylangylang jasmine orange blossom;3.07;Al-Najm;3.07;347;floral sandalwood musk tuberose ylangylang jasmine orange blossom edp;69;9;0
371;HUGO BOSS;Ma Vie;185;125.0;75;edp;Women;floral;cedar woody notes;pink freesia jasmine rose;5.0;Rose Gallary;4.02;347;floral cedar woody notes pink freesia jasmine rose edp;54;9;0
372;Roberto Cavalli;Paradisio Azzuro;499;168.0;75;edp;Women;floral;amberwood cashmere wood cypress sandalwood vanilla;apple jasmine peach rose tuberose water notes;4.08;AMLAQ;3.09;135;floral amberwood cashmere wood cypress sandalwood vanilla apple jasmine peach rose tuberose water notes edp;107;15;1
373;Dolce & Gabbana;The One;441;130.95;100;edt;Men;spicy;amber moss musk vanilla vetiver;genisteae jasmine lily lily of valley orange tree blossom ylangylang;4.05;Perfume Ms;3.06;111;spicy amber moss musk vanilla vetiver genisteae jasmine lily lily of valley orange tree blossom ylangylang edt;110;16;1
374;BENTLEY;Momentum Intense;226;144.0;100;edp;Men;woody;amber wood sandalwood white musk;geranium tonka bean marine ambergris;5.0;MOON LIGHT;3.09;61;woody amber wood sandalwood white musk geranium tonka bean marine ambergris edp;79;12;1
375;Guerlain;Mon Bloom Of Rose;586;272.0;100;edt;Women;floral;neroli rose;sambac jasmine;4.0;Faces;3.09;61;floral neroli rose sambac jasmine edt;37;6;0
376;KORLOFF;In White;562;116.0;88;edt;Men;citrus;cashmeran virginia cedar musk tonka bean;lavender african orange flower clary sage;5.0;noon;4.02;98.1K;citrus cashmeran virginia cedar musk tonka bean lavender african orange flower clary sage edt;93;14;1
377;TESORI D´ORIENTE;Orchidea della Cina;60;38.95;100;edt;Women;floral;myrrhpralinemuskvanillasandalwood;orange blossomtiare flowerjasmineorchid;4.03;noon;4.02;98.1K;floral myrrhpralinemuskvanillasandalwood orange blossomtiare flowerjasmineorchid edt;84;6;1
379;TRUSSARDI;Uomo;230;138.85;100;edt;Men;spicy;leather moss patchouli;clary sage violet;5.0;noon100% Genuine Product;4.02;98.1K;spicy leather moss patchouli clary sage violet edt;50;8;0
380;DORALL COLLECTION;DC Marine Noir;29;9.07;100;edt;Men;floral;incense amber cedar vetiver patchouli musk;water sage rosemary;3.04;B.A.G;3.07;14.1K;floral incense amber cedar vetiver patchouli musk water sage rosemary edt;73;11;1
381;BURBERRY;Body;283;142.0;85;edp;Women;woody;cashmere wood musk amber vanille;iris rose sandalwood;5.0;King-Perfume;4.02;450;woody cashmere wood musk amber vanille iris rose sandalwood edp;63;10;0
382;GUCCI;Bamboo;575;189.0;75;edp;Women;floral;sandalwood;casablanca lily ylang ylang extracomoros;4.08;Al-Najm;3.07;347;floral sandalwood casablanca lily ylang ylang extracomoros edp;62;7;0
383;Revlon;Charli Blue;44;44.0;100;edt;Women;woody;sandalwood oakmoss musk;jasmine muguet rose ylangylang;5.0;Attractive perfume;3.05;244;woody sandalwood oakmoss musk jasmine muguet rose ylangylang edt;64;9;0
385;BENTLEY;Absolute;200;154.0;100;edp;Men;woody;moss agarwood amber atlas cedar;olibanum papyrus sandalwood;5.0;Nawaem_perfumes;3.09;69;woody moss agarwood amber atlas cedar olibanum papyrus sandalwood edp;69;10;0
388;AZZARO;Chrome;269;135.0;100;edt;Men;citrus;sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom;rosemary pineapple neroli bergamot lemon;4.0;noon;4.02;98.1K;citrus sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom rosemary pineapple neroli bergamot lemon edt;120;16;2
389;Dunhill;Custom;330;89.85;100;edt;Men;floral;virginia cedar incense;pepper;4.03;noon;4.02;98.1K;floral virginia cedar incense pepper edt;40;6;0
390;DORALL COLLECTION;Super Cobra;29;8.08;100;edt;Women;floral;amber milk mousse australian sandalwood vanilla;orange blossom peach raspberry leaf;5.0;B.A.G;3.07;14.1K;floral amber milk mousse australian sandalwood vanilla orange blossom peach raspberry leaf edt;94;13;1
392;RALPH LAUREN;Polo Blue;465;327.0;125;edp;Men;woody;vetiver;blue orris accord;4.07;top langri;3.09;347;woody vetiver blue orris accord edp;35;6;0
393;NARCISO RODRIGUEZ;Narciso Rodriguez For Her;442;108.75;100;edt;Women;woody;vetiver vanilla;egyptian musk amber;4.07;Creativity star;3.05;319;woody vetiver vanilla egyptian musk amber edt;45;7;0
394;MINI COLLECTION;Eaudemoiselle No.1154;16;16.0;25;edp;Unisex;oriental;rose;cinnamon;4.09;original;3.09;235;oriental rose cinnamon edp;26;4;0
395;CHOPARD;Happy Spirit;269;148.95;75;edp;Women;fruity;amber musk cashmere wood;honeysuckle osmanthus;5.0;AMLAQ;3.09;135;fruity amber musk cashmere wood honeysuckle osmanthus edp;57;8;0
397;CHLOE;Chloe;428;188.85;50;edp;Women;floral;amber virginia cedar;rose lilyofthevalley caribbean magnolia;5.0;hadayiq baris;3.08;122;floral amber virginia cedar rose lilyofthevalley caribbean magnolia edp;71;9;1
398;TED LAPIDUS;Lapidus Pour Homme;122;66.0;100;edt;Men;woody;sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco;pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense;5.0;Diorworld;3.05;75;woody sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense edt;176;24;2
399;CAROLINA HERRERA;Bad Boy;652;204.0;100;edt;Men;spicy;tonka bean amberwood cacao;cedar sage;5.0;The first fragrance;4.01;5;spicy tonka bean amberwood cacao cedar sage edt;47;8;0
404;DORALL COLLECTION;Simple;15;8.05;100;edt;Women;floral;amber patchouli vanilla musk sandalwood;magnolia gardenia lily of valley freesia jasmine;4.03;B.A.G;3.07;14.1K;floral amber patchouli vanilla musk sandalwood magnolia gardenia lily of valley freesia jasmine edt;99;14;1
405;CHOPARD;Happy Spirit;185;155.0;75;edp;Women;fruity;amber musk cashmere wood;honeysuckle osmanthus;5.0;Star.perfume;3.09;537;fruity amber musk cashmere wood honeysuckle osmanthus edp;57;8;0
406;COACH;New York;501;183.95;90;edp;Women;fruity;suede musk sandalwood cashmeran;turkish rose gardenia cyclamen;4.07;Star.perfume;3.09;537;fruity suede musk sandalwood cashmeran turkish rose gardenia cyclamen edp;73;10;1
408;CARTIER;Declaration D'Un Soir;365;213.0;100;edt;Men;spicy;sandalwood;rose nutmeg;4.08;AMLAQ;3.09;135;spicy sandalwood rose nutmeg edt;32;5;0
409;CHANEL;Allure Homme Sport EDT For;800;423.0;100;edt;Men;citrus;tonka bean atlas cedar vetiver white musk pepper;cedarnerolipepper;5.0;hadayiq baris;3.08;122;citrus tonka bean atlas cedar vetiver white musk pepper cedarnerolipepper edt;77;11;1
410;DAVIDOFF;Leather Blend;420;224.85;100;edp;Unisex;spicy;leatherpapyrus;rose amber;5.0;Y;3.05;75;spicy leatherpapyrus rose amber edp;35;5;0
411;Al Fakhr;Shiyoukh Al Oud;08.09;8.09;100;edp;Unisex;woody musky;sandalwood cedarwood;black pepper cardamom;4.05;Bismat Eatar;3.07;66;woody musky sandalwood cedarwood black pepper cardamom edp;58;8;0
419;LACOSTE;L.12.12 Rouge;113;113.0;100;edt;Men;spicy;acacia wood;rooibos tea extract red bush tea;4.0;hadayiq baris;3.08;122;spicy acacia wood rooibos tea extract red bush tea edt;54;9;0
421;Franck Olivier;Oud Vanille;167;90.0;100;edp;Men;arabian;woody notes spices musk vanilla;rose violet jasmine patchouli incense;5.0;Nawaem_perfumes;3.09;69;arabian woody notes spices musk vanilla rose violet jasmine patchouli incense edp;81;12;1
422;BURBERRY;The Beat;280;150.0;75;edp;Women;floral;white musk vetiver cedar wood;ceylon tea iris bluebell;4.03;Faces;3.07;61;floral white musk vetiver cedar wood ceylon tea iris bluebell edp;65;11;0
423;Ajmal;Sacrifice;153;70.0;50;edp;Women;floral;woody oriental musky;floral musky;4.06;Rayhanti;4.02;27;floral woody oriental musky floral musky edp;44;5;0
424;Givenchy;Eau De Moiselle;550;183.0;100;edt;Women;floral;ambrette seeds tonka beans musk;rose ylang ylang;5.0;Asrar Aljamal;4.02;98;floral ambrette seeds tonka beans musk rose ylang ylang edt;59;9;0
426;DORALL COLLECTION;DC;29;9.03;100;edt;Men;floral;vetiver patchouli oakmoss musk sandalwood;galbanum rosemary jasmine coumarin;4.0;B.A.G;4.02;14.1K;floral vetiver patchouli oakmoss musk sandalwood galbanum rosemary jasmine coumarin edt;87;11;1
428;COACH;New York Platinum;11;7.09;2;edp;Men;oriental;patchouli vanilla leather;aromatic accords;4.05;Princess of beauty;3.08;467;oriental patchouli vanilla leather aromatic accords edp;55;7;0
429;CAROLINA HERRERA;212 Vip;363;160.0;100;edt;Men;vanilla;king wood salty amber tonka beans;chilled vodka hot ginger slice of apple;5.0;Al-Najm;3.07;347;vanilla king wood salty amber tonka beans chilled vodka hot ginger slice of apple edt;85;15;1
430;Mercedes-Benz;Club Black;295;185.0;100;edt;Women;vanilla;ambroxan benzoin woodsy notes vanilla;jasmine incense;5.0;Parvant Store;3.08;76;vanilla ambroxan benzoin woodsy notes vanilla jasmine incense edt;65;8;0
431;TOMMY HILFIGER;Tommy Girl;380;122.95;100;edt;Women;citrus;desert jasmin cherokee rose magnolia petals dakota lilies cedar sandalwood wild heather;grapefruit citrus orchards crisp green notes honeysuckle butterfly violets;4.04;Parvant Store;4.02;76;citrus desert jasmin cherokee rose magnolia petals dakota lilies cedar sandalwood wild heather grapefruit citrus orchards crisp green notes honeysuckle butterfly violets edt;173;22;2
432;Guerlain;Vetiver;426;174.0;100;edt;Men;aromatic;vetiver oakmoss leather myrrh civet tonka bean amber;vetiver pepper carnation sage orris root sandalwood;5.0;Nawaem_perfumes;3.09;69;aromatic vetiver oakmoss leather myrrh civet tonka bean amber vetiver pepper carnation sage orris root sandalwood edt;117;16;1
434;Shirley May;Darknet Pour Homme;11.05;11.05;100;edt;Men;woody;musk moss;anise cardamom cinnamon;3.0;Beauty Gallery;3.07;59;woody musk moss anise cardamom cinnamon edt;43;7;0
435;PACO RABANNE;Lady Million;420;158.0;80;edp;Women;floral;patchouli white honey amber;jasmine african orange flower gardenia;4.07;عالم المشاهير;4.02;7;floral patchouli white honey amber jasmine african orange flower gardenia edp;77;11;1
436;CARTIER;La Panthere;695;235.85;75;edp;Women;fruity;oakmoss musk patchouli leather;gardenia rose ylangylang orange blossom pear;4.07;noon;4.02;98.1K;fruity oakmoss musk patchouli leather gardenia rose ylangylang orange blossom pear edp;86;12;1
437;DAVIDOFF;The Game;147;77.0;100;edt;Men;woody;ebony wood;iris woody notes;5.0;Cute Shop;4.02;98.1K;woody ebony wood iris woody notes edt;37;6;0
438;PACO RABANNE;Ultraviolet;353;165.0;100;edt;Men;woody;indonesian patchouli oakmoss;tanzanian black pepper ambergris;4.04;Star.perfume;3.09;537;woody indonesian patchouli oakmoss tanzanian black pepper ambergris edt;71;9;1
440;Ard Al Zaafaran;Oud Sharqia;65;18.04;80;edp;Unisex;arabian;sweet wood;citric;4.04;King-Perfume;3.06;450;arabian sweet wood citric edp;29;5;0
441;Guerlain;Santal Royal;768;406.0;125;edp;Unisex;arabian;sandalwood leather note amber notes oud muscs note;peach rose cinnamon;5.0;top langri;3.07;347;arabian sandalwood leather note amber notes oud muscs note peach rose cinnamon edp;82;12;1
444;BURBERRY;My Burberry;699;226.65;90;edp;Women;floral;oined damascus centifolia rose;freesia flowers golden quince;5.0;AMLAQ;3.09;135;floral oined damascus centifolia rose freesia flowers golden quince edp;71;10;1
446;LACOSTE;Joy Of Pink;427;113.95;90;edt;Women;floral;musk vanilla;jasmine carrot spicy coriander;4.04;Kado Store;4.03;23;floral musk vanilla jasmine carrot spicy coriander edt;54;8;0
447;LALIQUE;Le'Parfum;143;143.0;100;edp;Women;oriental;sandalwood tonka bean patchouli vanilla;jasmine heliotrope;4.04;Beautiful Live;412.0;7;oriental sandalwood tonka bean patchouli vanilla jasmine heliotrope edp;71;9;1
448;GUCCI;Memoire  D'une Odeur EDP For Uni;530;349.95;100;edp;Unisex;fresh;sandalwood cedar vanilla;coral jasmine jasmine petals musks;5.0;noon;4.02;98.1K;fresh sandalwood cedar vanilla coral jasmine jasmine petals musks edp;69;9;0
450;DORALL COLLECTION;Oud Wood;19;9.09;100;pdt;Unisex;citrus;cedar tobacco patchouli sandalwood musk;geranium marigold rose bay leaves;4.03;B.A.G;4.02;14.1K;citrus cedar tobacco patchouli sandalwood musk geranium marigold rose bay leaves pdt;84;12;1
451;HUGO BOSS;The Scent;426;135.0;100;edt;Men;spicy;leather woody notes;lavender maninka;3.06;Perfume Ms;3.07;537;spicy leather woody notes lavender maninka edt;46;7;0
453;CAROLINA HERRERA;212 Sexy;420;151.0;100;edp;Women;floral;cotton candymusksandalwoodvanilla;gardeniageranium;4.07;Al-Najm;3.07;347;floral cotton candymusksandalwoodvanilla gardeniageranium edp;61;5;0
456;Parfums Gres;Cabotine De Gres;110;78.0;100;edp;Women;floral;patchouli sandalwood musk;ginger lily tubereuse wild hyacinth;4.05;Nawaem_perfumes;3.09;69;floral patchouli sandalwood musk ginger lily tubereuse wild hyacinth edp;72;10;1
457;Lancome;Magie Noire L'eau;401;401.0;75;edt;Women;woody;amber sandalwood patchouli;jasmine ylangylang;4.06;Banorama;3.05;63;woody amber sandalwood patchouli jasmine ylangylang edt;55;7;0
458;LOEWE;Esencia Pour Homme;514;177.0;150;edt;Men;woody;tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax;clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant;5.0;Pinch Of Perfum;3.05;32;woody tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant edt;194;28;2
459;Calvin Klein;CK Be;125;110.0;200;edt;Unisex;spicy;sandalwood amber cedar oakmoss;green grass magnolia orchid freesia peach jasmine;5.0;Abu Al Tayyeb Perfumes;4.02;7;spicy sandalwood amber cedar oakmoss green grass magnolia orchid freesia peach jasmine edt;90;13;1
460;HUGO BOSS;Boss;375;105.0;100;edt;Men;woody;sandalwood vetiver cedarwood vanilla;geranium cinnamon cloves;4.07;Acacia Rose;4.08;77;woody sandalwood vetiver cedarwood vanilla geranium cinnamon cloves edt;71;9;1
463;COACH;New York Coach Dreams;310;201.75;90;edp;Women;floral;joshua tree ambroxan;gardenias cactus flowers;4.0;noon;4.02;98.1K;floral joshua tree ambroxan gardenias cactus flowers edp;56;8;0
467;LANVIN PARIS;Rumeur 2 Rose;126;106.85;100;edp;Women;floral;patchouli amber musk;lily of valley jasmine false jasmine rose magnolia honeysuckle;4.03;goldiaa;4.01;135;floral patchouli amber musk lily of valley jasmine false jasmine rose magnolia honeysuckle edp;94;13;1
468;Roberto Cavalli;cavali;499;115.0;75;edp;Men;arabian;roasted tonka grain laos benzoin;orange blossom extract mirabelle plum;4.03;hadayiq baris;3.08;122;arabian roasted tonka grain laos benzoin orange blossom extract mirabelle plum edp;82;12;1
470;CARON;De Caron;388;178.0;200;edt;Men;fresh;musk;vanille;4.03;ثروة الجمال;3.07;59;fresh musk vanille edt;22;4;0
471;Paris Hilton;Heiress;224;151.0;100;edp;Women;fruity;violet leaf tahiti tonka light wood;jasmine tiare lily delightfully sweet ylangylang honeysuckle grenadine;4.04;Abu Al Tayyeb Perfumes;3.06;30;fruity violet leaf tahiti tonka light wood jasmine tiare lily delightfully sweet ylangylang honeysuckle grenadine edp;117;16;1
472;CAROLINA HERRERA;212 VIP;445;190.0;80;edp;Women;arabian;vanille tonka bean;musk gardenia;4.04;Number One;4.02;98;arabian vanille tonka bean musk gardenia edp;44;7;0
475;LACOSTE;L.12.12 Blanc;108;89.95;100;edt;Men;woody;virginia cedar leather suede vetiver;ylang;5.0;noon;4.02;98.1K;woody virginia cedar leather suede vetiver ylang edt;52;8;0
476;BURBERRY;My Burberry;494;179.0;50;edp;Women;floral;amber patchouli;peach rose;5.0;noon;4.02;98.1K;floral amber patchouli peach rose edp;37;6;0
477;DORALL COLLECTION;Love You Like Crazy;25;7.25;100;edt;Women;woody;patchouli musk vanilla amber;peony jasmine lily;4.05;B.A.G;3.07;14.1K;woody patchouli musk vanilla amber peony jasmine lily edt;57;9;0
478;TRUSSARDI;Extreme;462;127.95;100;edt;Men;woody;vetiver patchouli;fruitygourmand dark plum powdery iris;5.0;Perfumes-shop;3.09;537;woody vetiver patchouli fruitygourmand dark plum powdery iris edt;65;9;0
480;MING NA;Beibei Bear Blue Par;20.09;20.09;50;edp;Kids Unisex;floral;patchouli earthy dry amber;sandalwood peppery lavender;4.09;Royal Scent;3.05;244;floral patchouli earthy dry amber sandalwood peppery lavender edp;65;9;0
481;Roberto Cavalli;Paradiso;500;165.0;75;edp;Women;woody;pine tree cypress laurels;jasmine;4.06;hadayiq baris;3.08;122;woody pine tree cypress laurels jasmine edp;43;7;0
482;LALIQUE;Encre Noire;165;140.0;100;edt;Men;woody;sandalwood;lemongrass;4.04;kikup;3.09;23;woody sandalwood lemongrass edt;31;4;0
483;AZZARO;Visit;156;106.0;100;edt;Men;woody;gray amber musk;lebanese cedar guaiac tree incense;4.03;Beautiful Live;412.0;7;woody gray amber musk lebanese cedar guaiac tree incense edt;60;10;0
485;TRUSSARDI;My Name;308;228.0;50;edp;Women;floral;dry amber vanilla;lilac musk;4.06;noon;4.02;98.1K;floral dry amber vanilla lilac musk edp;39;7;0
489;HUGO BOSS;Bottled Intense;426;157.85;100;edp;Men;spicy;sandalwood cedar vetiver vanilla;geranium cloves cinnamon;4.05;AMLAQ;3.09;135;spicy sandalwood cedar vetiver vanilla geranium cloves cinnamon edp;67;9;0
491;Estee Lauder;Private Collection;505;197.0;50;edp;Women;floral;sandalwood heliotrope amber musk;bulgarian rose chrysanthemum reseda ylangylang coriander;5.0;Royal Scent;3.09;69;floral sandalwood heliotrope amber musk bulgarian rose chrysanthemum reseda ylangylang coriander edp;100;12;1
493;BURBERRY;The Beat;280;150.0;75;edp;Women;floral;white musk vetiver cedar wood;ceylon tea iris bluebell;4.03;Faces;4.02;61;floral white musk vetiver cedar wood ceylon tea iris bluebell edp;65;11;0
494;Lattafa;Rouat Al Oud;99;45.0;100;edp;Women;spicy;cedarwood patchouli vetiver musk;cardamom spicy notes;5.0;Rihanna World Store;4.04;8;spicy cedarwood patchouli vetiver musk cardamom spicy notes edp;63;8;0
495;Yves Saint Laurent;La Nuit De L`Homme;536;314.0;100;edt;Men;woody;vetiver caraway;bergamot virginia cedar lavender;5.0;The first fragrance;412.0;7;woody vetiver caraway bergamot virginia cedar lavender edt;58;8;0
496;Ajmal;Blu;177;139.95;90;edp;Men;fresh;sandalwood musk amber;lotus jasmine;4.0;noon;4.02;98.1K;fresh sandalwood musk amber lotus jasmine edp;45;7;0
497;Mont Blanc;Legend;220;141.95;100;edt;Men;spicy;sandalwood tonka evernyl;dried fruit oakmoss fused geranium rose apple;5.0;noon;4.02;98.1K;spicy sandalwood tonka evernyl dried fruit oakmoss fused geranium rose apple edt;80;12;1
498;HERMES;Terre D' Hermes;474;173.0;100;edt;Men;citrus;woody notes patchouli cedar;geranium;3.09;noon;4.02;98.1K;citrus woody notes patchouli cedar geranium edt;47;7;0
500;Roberto Cavalli;Dupont;360;120.0;75;edp;Women;arabian;benzoin tonka bean vanille;african orange flower;4.06;Star.perfume;3.09;537;arabian benzoin tonka bean vanille african orange flower edp;60;9;0
501;BURBERRY;Burberry Body;13;8.05;2;edt;Women;woody;absolute vanilla orchid tahitensis praline patchouli papyrus;rose damascena essence incense;4.0;Princess of beauty;3.08;467;woody absolute vanilla orchid tahitensis praline patchouli papyrus rose damascena essence incense edt;101;13;1
502;BENTLEY;Intense;169;128.0;100;edp;Men;spicy;leather benzoin incense cedar patchouli;clary sage african geranium cinnamon rum wood;4.03;Parisian Store;3.09;425;spicy leather benzoin incense cedar patchouli clary sage african geranium cinnamon rum wood edp;95;14;1
503;BURBERRY;My Burberry;700;197.95;90;edp;Women;floral oriental;damascus centifolia rose;geranium freesia flowers golden quince;4.07;Grass gulf;3.09;135;floral oriental damascus centifolia rose geranium freesia flowers golden quince edp;83;11;1
505;LALIQUE;Encre Noire;485;136.95;100;edt;Men;woody;cashmere wood musk;haitian vetiver;4.05;Parvant Store;3.07;76;woody cashmere wood musk haitian vetiver edt;44;7;0
506;Yves Saint Laurent;Rive Gauche Homme;560;560.0;80;edt;Men;aromatic;gaiac wood;patchouli vetiver;4.07;Abu Al Tayyeb Perfumes;3.05;63;aromatic gaiac wood patchouli vetiver edt;41;6;0
507;LANVIN PARIS;Modern Princess;356;174.0;90;edp;Women;floral;white musk white woods vanilla orchid;jasmine freesia;5.0;Ryhana Perfume;4.02;25;floral white musk white woods vanilla orchid jasmine freesia edp;64;9;0
508;GIORGIO ARMANI;Eau Pour Homme Reno 2013;361;186.0;50;edt;Men;citrus;patchouli oakmoss sandalwood;cloves lily nutmeg;4.07;noon;4.02;98.1K;citrus patchouli oakmoss sandalwood cloves lily nutmeg edt;58;8;0
509;Nikos;Sculpture Homme;220;52.95;100;edt;Men;floral;amber benzoin cedar tonka beans;geranium jasmine lily of valley rose;4.05;noon;4.02;98.1K;floral amber benzoin cedar tonka beans geranium jasmine lily of valley rose edt;79;13;1
510;DAVIDOFF;The Brilliant Game;215;93.75;100;edt;Men;arabian;sensual addiction of tonka bean note;charismatic virility of a cedarwood;4.02;noon;4.02;98.1K;arabian sensual addiction of tonka bean note charismatic virility of a cedarwood edt;84;12;1
512;NARCISO RODRIGUEZ;Narciso Rodriguez For Her;442;108.75;100;edt;Women;woody;vetiver vanilla;egyptian musk amber;4.07;Creativity star;3.07;319;woody vetiver vanilla egyptian musk amber edt;45;7;0
513;Parfums Gres;Cabotine;135;75.0;100;edt;Women;floral;cedarwood vanilla tonka bean cybet musk amber;rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;4.08;AMLAQ;3.09;135;floral cedarwood vanilla tonka bean cybet musk amber rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris edt;133;19;2
514;Elizabeth Arden;Green Tea;77;72.95;100;edp;Women;citrus;caraway amber musk by green tea jasmine cloves oakmoss celery seeds;carnation muskjasmine oakmoss amber white fennel;5.0;Golden Perfumesعطر اصلي 100 %;3.06;111;citrus caraway amber musk by green tea jasmine cloves oakmoss celery seeds carnation muskjasmine oakmoss amber white fennel edp;127;17;2
515;Van Cleef & Arpels;Ambre Imperial;730;479.0;75;edp;Unisex;woody;woodsy notes;tonka bean vanilla amber benzoin;5.0;PARFUM.1990;3.08;76;woody woodsy notes tonka bean vanilla amber benzoin edp;55;9;0
517;J.CASANOVA;Pandora;79.95;79.95;50;edp;Women;fruity;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;5.0;VIP.PARFUME;3.05;75;fruity cedar moss musk amber sandalwood lilyofthevalley rose jasmine narcissus orchid edp;89;12;1
518;HUGO BOSS;Femme;316;139.95;75;edp;Women;floral;apricot lemon wood;jasmine fleur de lys bulgarian rose;4.08;Grass gulf;3.09;69;floral apricot lemon wood jasmine fleur de lys bulgarian rose edp;65;11;0
519;Calvin Klein;Secret Obsession;202;163.95;100;edp;Women;woody;burnt amber cashere woods vanilla sandalwood;jasmine orange flower tuberose;5.0;Chansles;3.09;33;woody burnt amber cashere woods vanilla sandalwood jasmine orange flower tuberose edp;85;12;1
525;PENHALIGON'S;Portraits George;2350;886.0;75;edp;Men;woody;tonka beans;shaving soap;5.0;Beuatyone1;4.02;1.3K;woody tonka beans shaving soap edp;34;6;0
526;BURBERRY;London;241;140.0;50;edp;Women;floral;sandalwood musk patchouli;tiare flower jasmine peony a hint of fresh clementine zest;4.06;Star.perfume;3.09;537;floral sandalwood musk patchouli tiare flower jasmine peony a hint of fresh clementine zest edp;95;15;1
527;HUGO BOSS;Bottled Unlimited;373;126.0;100;edt;Men;vanilla;sandalwood musk;pineapple rose;4.04;Al-Najm;3.07;347;vanilla sandalwood musk pineapple rose edt;42;6;0
528;CHANEL;Bleu De Chanel;920;245.0;100;edt;Men;citrus;labdanum sandalwod patchouli vetiver incense cedar white musk;ginger iso e super nutmeg jasmine;4.08;The smart store;3.07;319;citrus labdanum sandalwod patchouli vetiver incense cedar white musk ginger iso e super nutmeg jasmine edt;106;16;1
531;joop;Homme;170;60.0;125;edt;Men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lili of valley heliotrope;3.05;hadayiq baris;3.08;122;citrus vanilla tonka bean patchouli sandalwood jasmine lili of valley heliotrope edt;84;12;1
532;NARCISO RODRIGUEZ;Narciso Rodriguez;436;207.0;50;edp;Women;floral;patchoulisandalwood;ambermusk;5.0;Ahmed Mohamed Abbas Abbas Trading Est;4.02;98;floral patchoulisandalwood ambermusk edp;40;4;0
533;Dolce & Gabbana;3 L'Imperatrice;640;157.65;100;edt;Women;floral;musk sandalwood lemon tree;watermelon cyclamen jasmine;4.0;noon;4.02;98.1K;floral musk sandalwood lemon tree watermelon cyclamen jasmine edt;65;9;0
534;PRADA;Amber Intense;324;321.95;100;edp;Men;spicy;creamy amber;vanilla;4.04;noon;4.02;98.1K;spicy creamy amber vanilla edp;30;5;0
536;AZZARO;Visit;310;110.0;100;edt;Men;woody;amber musk;labdanum guaiac wood incense cedar;1.0;Star.perfume;3.09;537;woody amber musk labdanum guaiac wood incense cedar edt;55;9;0
